Player,Squad,Age,MP,Gls,Ast,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,GnPKp90,xG,npxG,xA,xGp90,xAp90,npxGp90,CmpPct,TotDist,PrgDist,SCmpPct,MCmpPct,LCmpPct,KP,DrbSuccPct,Tkl,TklW,Blocks,Int,Clr,Err,Pos,Sh,SoT,SoTp90
Toby Alderweireld,Tottenham,28,14,0,0,0,0,3,0,0,0,0,0.5,0.5,0.3,0.03,0.02,0.03,84.7,19397,6422,40,92.2,76.4,3,71.4,15,8,20,4,42,0,DF,10,1,0.08
Trent Alexander-Arnold,Liverpool,18,19,1,1,0,0,3,0,0.06,0.06,0.06,1.2,1.2,2.4,0.07,0.14,0.07,73,18108,6493,21.8,86.1,55,25,51.5,31,18,30,30,37,1,DF,12,6,0.34
Joe Allen,Stoke City,27,36,2,6,0,0,8,0,0.06,0.17,0.06,2.5,2.5,2.4,0.07,0.07,0.07,79.1,19116,5473,33.9,84.4,69.7,32,77,89,62,67,62,40,1,MF,23,4,0.11
Dele Alli,Tottenham,21,36,9,10,0,0,7,0,0.27,0.3,0.27,9.4,9.4,8.1,0.28,0.24,0.28,77.4,15636,4239,40.8,84.5,65.4,60,45.5,40,29,39,27,17,0,"MF,FW",75,18,0.55
Marcos Alonso,Chelsea,26,33,7,2,0,0,6,0,0.22,0.06,0.22,4.3,4.3,2.3,0.14,0.07,0.14,77.6,22912,7255,27.9,85.3,63.6,31,50,46,27,64,51,51,2,"DF,MF",65,23,0.73
Daniel Amartey,Leicester City,22,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,77.3,4348,1844,42.9,86.8,58.6,0,50,7,0,12,4,10,0,DF,0,0,0
Ethan Ampadu,Chelsea,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,432,94,,100,100,0,,1,0,0,0,2,1,DF,0,0,0
Nordin Amrabat,Watford,30,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.06,0.02,57.7,718,219,0,67.3,44.4,2,33.3,5,4,0,0,0,0,FW,1,0,0
Michail Antonio,West Ham,27,21,3,1,0,0,1,0,0.2,0.07,0.2,2.4,2.4,0.7,0.16,0.04,0.16,59.5,5056,1586,28.6,71.2,39.3,12,60.9,13,11,21,13,17,0,"FW,MF",37,15,1
Scott Arfield,Burnley,28,18,2,1,0,0,3,0,0.14,0.07,0.14,1.4,1.4,0.5,0.09,0.03,0.09,69.9,4126,1055,40,76,51.5,7,38.7,30,20,31,15,12,0,"FW,MF",16,5,0.34
Marko Arnautović,West Ham,28,31,11,6,0,0,5,1,0.43,0.23,0.43,10.5,10.5,4.5,0.41,0.18,0.41,67.5,7316,1662,37.3,75.3,47.9,33,55.6,16,13,31,16,31,2,"FW,MF",70,33,1.28
Harry Arter,Bournemouth,27,13,1,0,0,0,4,0,0.09,0,0.09,0.6,0.6,0.3,0.06,0.02,0.06,85.7,9467,2229,53.8,91.6,73.8,2,60,20,14,17,10,2,0,MF,11,1,0.09
Christian Atsu,Newcastle Utd,25,28,2,2,0,0,1,0,0.1,0.1,0.1,3.3,3.3,2.8,0.17,0.14,0.17,70.5,5275,1585,29.3,80.3,45.2,26,37.7,17,6,47,11,13,0,"MF,FW",35,13,0.66
Pierre-Emerick Aubameyang,Arsenal,28,13,10,4,1,2,0,0,0.85,0.34,0.77,8.2,6.7,1.1,0.7,0.1,0.57,68.7,2890,505,39.3,78,31.7,13,100,5,4,12,5,6,0,FW,28,17,1.45
Serge Aurier,Tottenham,24,17,2,2,0,0,2,2,0.13,0.13,0.13,0.7,0.7,1.7,0.04,0.11,0.04,74.8,12528,4685,33.3,81.9,56,14,67.9,50,31,33,32,31,0,DF,17,6,0.38
Charlie Austin,Southampton,27,24,7,0,1,1,2,0,0.61,0,0.52,8.1,7.3,0.2,0.71,0.02,0.64,71.1,2694,437,60,73.2,65.2,2,54.5,5,3,12,2,8,0,FW,48,24,2.08
André Ayew,Swansea City,27,12,0,2,0,0,3,0,0,0.19,0,2.4,2.4,1.1,0.23,0.1,0.23,78.9,3638,569,42.9,84.2,68,12,75,11,7,14,6,9,0,"FW,MF",14,7,0.66
André Ayew,West Ham,27,18,3,2,0,1,2,0,0.3,0.2,0.3,2.7,1.9,0.3,0.27,0.03,0.19,74.5,2868,589,43.5,80.3,55.9,2,70.6,17,13,8,5,2,0,"FW,MF",12,5,0.5
Jordan Ayew,Swansea City,25,36,7,2,1,1,2,1,0.22,0.06,0.19,6.6,5.8,1.2,0.21,0.04,0.18,79,9941,1314,47.3,85.6,63.4,14,62.5,72,52,46,26,8,0,"FW,MF",60,21,0.66
César Azpilicueta,Chelsea,27,37,2,6,0,0,1,0,0.05,0.16,0.05,1.3,1.3,3.7,0.04,0.1,0.04,84,47096,17249,44.1,90,71.8,29,57.1,77,43,63,54,113,1,DF,14,4,0.11
Eric Bailly,Manchester Utd,23,13,1,0,0,0,2,0,0.09,0,0.09,1,1,0.2,0.09,0.02,0.09,87.4,7514,2152,71.4,93.3,76.3,2,83.3,14,10,21,23,43,0,DF,4,1,0.09
Leighton Baines,Everton,32,22,2,3,2,2,1,0,0.09,0.14,0,2,0.4,2.2,0.09,0.1,0.02,74.8,13327,6212,28.3,86.2,53.5,24,61.5,21,9,34,28,22,0,DF,5,2,0.09
Tiemoué Bakayoko,Chelsea,22,29,2,2,0,0,4,2,0.08,0.08,0.08,3.3,3.3,0.6,0.14,0.02,0.14,85.6,16680,4120,51.3,88.1,81.9,14,60.5,62,44,38,38,28,0,MF,41,8,0.34
Sam Baldock,Brighton,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,38,10,,66.7,0,0,,0,0,0,0,0,0,"FW,MF",0,0,0
Beni Baningime,Everton,18,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81.7,1188,318,37.5,86.4,86.7,0,40,9,3,7,3,0,0,MF,0,0,0
Phil Bardsley,Burnley,32,13,0,0,0,0,5,0,0,0,0,0,0,0.9,0,0.07,0,67.4,7492,3803,31.3,77.5,50,9,57.1,23,18,31,23,51,0,DF,2,2,0.16
Ross Barkley,Chelsea,23,2,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.38,0.07,0.38,74.5,620,130,100,76.9,60,2,100,0,0,3,0,1,0,"MF,FW",2,2,1.4
Ashley Barnes,Burnley,27,36,9,0,0,0,10,0,0.37,0,0.37,7.2,7.2,1.7,0.3,0.07,0.3,60.1,4462,1026,39,66.5,43.5,18,61.5,12,10,36,2,17,0,FW,63,25,1.04
Harvey Barnes,Leicester City,19,3,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.92,0,1.92,85.7,98,14,,100,66.7,0,,0,0,0,0,0,0,"MF,FW",1,0,0
Gareth Barry,West Brom,36,25,1,1,0,0,4,0,0.05,0.05,0.05,1.1,1.1,2,0.05,0.09,0.05,74.5,14343,4491,30.4,84.8,57.4,18,73.3,38,24,39,20,29,0,MF,15,5,0.23
Kyle Bartley,Swansea City,26,5,0,0,0,0,2,0,0,0,0,0.3,0.3,0.2,0.1,0.09,0.1,76.5,1804,628,25,84.4,64.7,1,,2,1,9,3,18,0,DF,3,0,0
Michy Batshuayi,Chelsea,23,12,2,1,0,0,0,0,0.5,0.25,0.5,1.1,1.1,0.2,0.28,0.05,0.28,70.7,902,107,33.3,78.5,66.7,2,75,5,4,0,1,4,0,FW,13,5,1.25
Moritz Bauer,Stoke City,25,15,0,0,0,0,4,0,0,0,0,0.3,0.3,1.2,0.02,0.08,0.02,59.8,5515,2559,21.4,72.9,47.5,13,38.9,27,12,23,10,25,0,"DF,MF",3,1,0.07
Jan Bednarek,Southampton,21,5,1,0,0,0,1,0,0.21,0,0.21,0.1,0.1,0,0.02,0,0.02,74.5,3000,1067,50,87.3,59,0,,5,2,2,5,22,1,DF,1,1,0.21
Asmir Begović,Bournemouth,30,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,58.7,18541,12034,50,98.7,45,1,,0,0,0,1,3,1,GK,0,0,0
Héctor Bellerín,Arsenal,22,35,2,3,0,0,5,0,0.06,0.09,0.06,2.1,2.1,3.6,0.06,0.1,0.06,82.9,28267,8737,27.6,88.4,68.1,36,50,52,34,67,27,53,1,"DF,MF",28,8,0.24
Yohan Benalouane,Leicester City,30,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0,0.08,55.9,428,47,0,75,43.8,0,,5,0,1,2,4,0,DF,2,1,1
Christian Benteke,Crystal Palace,26,31,3,5,1,2,6,0,0.12,0.2,0.08,9.6,8,3.4,0.39,0.14,0.32,58.4,5553,1119,41.4,60.7,55.9,27,60,8,7,21,7,38,0,FW,57,17,0.68
Saido Berahino,Stoke City,23,15,0,1,0,1,0,0,0,0.18,0,2.2,1.5,0.6,0.41,0.11,0.27,72.6,1124,157,16.7,79.2,64.7,3,75,2,2,5,2,2,0,"FW,MF",9,3,0.55
Jóhann Berg Guðmundsson,Burnley,26,35,2,8,0,0,2,0,0.06,0.25,0.06,3.6,3.6,5.1,0.11,0.16,0.11,63.7,13277,4999,29.6,77.8,44.7,66,54.9,28,17,37,35,31,0,"MF,FW",55,21,0.67
Ryan Bertrand,Southampton,27,35,0,4,0,0,2,0,0,0.11,0,1.8,1.8,2.8,0.05,0.08,0.05,75.7,23795,10458,38.6,85.8,51.2,32,45.2,39,19,67,41,50,1,DF,20,4,0.11
Muhamed Bešić,Everton,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,92.9,544,68,,100,83.3,1,,2,1,2,1,0,0,MF,0,0,0
Philip Billing,Huddersfield,21,16,0,0,0,0,3,0,0,0,0,0.2,0.2,0.4,0.02,0.04,0.02,73.5,5205,1180,57.7,80.6,61.3,3,62.5,30,17,33,19,11,0,MF,8,2,0.24
Mame Biram Diouf,Stoke City,29,35,6,2,0,0,6,0,0.21,0.07,0.21,7.4,7.4,0.9,0.26,0.03,0.26,56.2,5665,2023,13,63.5,44.1,15,34.3,44,24,32,16,44,0,"FW,MF",59,20,0.69
Daley Blind,Manchester Utd,27,7,0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.03,0.16,0.03,78.8,3939,1568,55.6,87.4,58.9,7,33.3,8,4,8,6,8,0,"DF,MF",3,0,0
Jeremie Boga,Chelsea,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,31,6,100,100,,0,,0,0,0,0,0,0,MF,0,0,0
Yannick Bolasie,Everton,28,16,1,0,0,0,0,0,0.11,0,0.11,1.4,1.4,0.4,0.15,0.04,0.15,52.6,2330,607,17.4,67.4,26.1,2,55.2,12,7,9,5,3,0,"FW,MF",20,6,0.63
Gaëtan Bong,Brighton,29,25,0,0,0,0,2,0,0,0,0,0.4,0.4,0.6,0.02,0.03,0.02,67,12081,6340,32.8,79.3,41.4,9,52.9,36,21,48,46,69,2,DF,4,1,0.04
Wilfried Bony,Swansea City,28,15,2,0,0,0,2,0,0.25,0,0.25,1.6,1.6,0.2,0.21,0.02,0.21,66.5,1818,371,50,68.6,66.7,4,80,3,3,4,2,16,1,FW,20,7,0.89
Sofiane Boufal,Southampton,23,26,2,2,0,0,1,0,0.15,0.15,0.15,1.7,1.7,1.4,0.13,0.1,0.13,72.2,6974,1826,34.6,80.7,50,20,64,34,27,21,7,3,0,"FW,MF",28,6,0.44
Robbie Brady,Burnley,25,15,1,2,0,0,3,0,0.07,0.14,0.07,1.3,1.3,2.2,0.09,0.15,0.09,60.2,7594,2974,25,75.3,41.1,27,56.3,28,19,20,11,20,0,"MF,FW",24,6,0.42
Claudio Bravo,Manchester City,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7,1166,633,,100,75,0,,0,0,0,0,0,0,GK,0,0,0
Miguel Britos,Watford,31,12,1,0,0,0,3,1,0.11,0,0.11,0.8,0.8,0.7,0.09,0.07,0.09,75.2,7475,2873,25,80.5,71.2,3,66.7,14,4,9,12,29,0,DF,3,2,0.23
Leon Britton,Swansea City,34,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.2,2353,409,0,94.2,96.3,0,50,6,5,5,2,0,0,MF,0,0,0
Izzy Brown,Brighton,20,13,0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.04,0.2,0.04,70.3,1418,371,11.1,80.4,50,6,75,5,5,7,3,4,0,"MF,FW",2,1,0.29
Bruno,Brighton,36,25,0,0,0,0,3,0,0,0,0,0.1,0.1,1.2,0,0.05,0,77.5,18434,7684,33.3,87.1,62.5,11,56.5,26,16,44,40,41,0,DF,2,1,0.04
Chris Brunt,West Brom,32,26,0,7,0,0,5,0,0,0.33,0,1.7,1.7,3.7,0.08,0.17,0.08,68.1,16749,7236,41.2,83.4,52.9,37,86.4,33,21,31,22,30,3,"MF,DF",25,5,0.23
Oliver Burke,West Brom,20,15,0,2,0,0,0,0,0,0.49,0,0.5,0.5,0.4,0.12,0.09,0.12,76,1495,300,22.2,83.6,46.7,4,50,5,2,5,7,1,0,"FW,MF",4,0,0
Jack Butland,Stoke City,24,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.6,24759,19803,25,95.7,43.7,1,0,0,0,1,1,5,2,GK,0,0,0
Sam Byram,West Ham,23,5,0,0,0,0,1,0,0,0,0,0.4,0.4,0.2,0.15,0.07,0.15,59.2,1256,720,33.3,69.3,35.5,2,60,9,2,8,9,12,0,DF,5,0,0
Willy Caballero,Chelsea,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,1647,1110,,97.3,54.3,0,,0,0,0,0,0,0,GK,0,0,0
Yohan Cabaye,Crystal Palace,31,31,0,1,0,0,7,0,0,0.04,0,2.4,2.4,3.4,0.09,0.13,0.09,76.9,20597,7312,57.8,89.3,55,44,37.5,57,38,61,77,21,1,MF,38,10,0.38
Gary Cahill,Chelsea,31,27,0,0,0,0,1,1,0,0,0,0.4,0.4,0,0.02,0,0.02,87.6,23442,7832,39.1,92.8,78,2,100,30,9,36,30,108,1,DF,9,3,0.13
Dominic Calvert-Lewin,Everton,20,32,4,6,0,0,4,0,0.19,0.29,0.19,4.7,4.7,1.8,0.23,0.09,0.22,61,4311,1159,39.7,66.5,44.8,19,55.4,15,7,20,12,23,0,"FW,MF",43,16,0.77
Geoff Cameron,Stoke City,31,20,0,0,0,0,2,0,0,0,0,0.4,0.4,0.2,0.02,0.01,0.02,68.6,7968,3359,29.4,82.4,50.2,7,65.2,32,18,35,38,58,1,"DF,MF",5,0,0
Tyrese Campbell,Stoke City,17,4,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.19,0,0.19,52.6,151,44,0,62.5,0,0,,2,1,4,1,0,0,"FW,MF",2,1,1.14
Emre Can,Liverpool,23,26,3,4,0,0,8,0,0.13,0.17,0.13,1.8,1.8,3,0.08,0.13,0.08,85.3,25240,5183,48.9,90.6,74.4,25,61.5,64,49,45,35,31,0,MF,29,10,0.43
Étienne Capoue,Watford,28,23,1,0,0,0,3,0,0.06,0,0.06,1.2,1.2,0.8,0.07,0.05,0.07,81.3,14411,3431,33.3,86.8,72.2,9,63.2,44,30,28,40,33,1,MF,25,4,0.23
Michael Carrick,Manchester Utd,35,2,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.17,0.04,0.17,85.9,1742,849,0,96.7,72.4,1,,1,1,3,2,3,0,MF,2,1,0.83
André Carrillo,Watford,26,28,1,2,0,0,2,0,0.06,0.12,0.06,2.3,2.3,2.7,0.13,0.16,0.13,73.4,9312,2387,36.7,81.7,58,18,66.7,22,17,18,15,8,0,"FW,MF",23,2,0.12
Guido Carrillo,Southampton,26,7,0,1,0,0,0,0,0,0.2,0,0.6,0.6,0.8,0.12,0.16,0.12,66.1,1191,248,28.6,69.2,65,5,100,7,4,7,0,3,0,FW,8,4,0.8
Andy Carroll,West Ham,28,16,3,0,0,0,6,2,0.36,0,0.36,1.4,1.4,0.2,0.16,0.03,0.16,59.3,2541,522,43.5,63.9,51.9,5,80,4,1,7,2,15,0,FW,28,7,0.84
Tom Carroll,Swansea City,25,37,0,4,0,0,3,0,0,0.14,0,1,1,4,0.04,0.14,0.04,78.5,23167,7380,48.5,88.8,59.6,47,69.2,46,26,34,34,13,0,MF,21,5,0.18
Craig Cathcart,Watford,28,7,0,0,0,0,1,0,0,0,0,0.2,0.2,0,0.04,0.01,0.04,77.2,3602,1323,100,85.7,66.7,1,100,7,6,7,4,28,0,DF,3,2,0.34
Petr Čech,Arsenal,35,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69.8,17881,10672,0,97.2,57.8,0,66.7,0,0,0,0,2,2,GK,0,0,0
Nacer Chadli,West Brom,27,5,1,0,0,0,1,0,0.35,0,0.35,0.2,0.2,0.1,0.09,0.04,0.09,67.6,717,147,25,80.8,42.9,2,50,0,0,3,0,2,0,"FW,MF",5,2,0.69
Nathaniel Chalobah,Watford,22,6,0,0,0,0,1,0,0,0,0,0.9,0.9,0,0.18,0.01,0.18,69.2,2330,771,63.6,77.5,51,1,46.2,9,9,8,7,5,0,MF,12,4,0.81
Calum Chambers,Arsenal,22,12,0,0,0,0,1,0,0,0,0,1.1,1.1,0,0.11,0.01,0.11,81.9,10541,3232,33.3,85.9,77.2,2,46.2,17,12,27,19,28,0,DF,9,3,0.31
Ben Chilwell,Leicester City,20,24,0,2,0,0,2,2,0,0.1,0,0.1,0.1,2.2,0.01,0.1,0.01,70.2,13973,5396,26.6,79.8,50.2,20,53.3,34,25,46,28,40,1,DF,5,1,0.05
Hamza Choudhury,Leicester City,19,8,0,1,0,0,1,0,0,0.24,0,0,0,0.2,0.01,0.04,0.01,83.9,2795,872,0,90.8,68.1,1,0,11,4,13,13,6,0,MF,2,0,0
Andreas Christensen,Chelsea,21,27,0,0,0,0,0,0,0,0,0,1.2,1.2,0.3,0.05,0.01,0.05,92.6,28020,7813,61.1,94.3,91,5,100,22,10,48,39,89,1,DF,13,1,0.04
Lee Chung-yong,Crystal Palace,28,7,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.07,0.02,76.3,843,231,33.3,87.9,41.7,2,100,4,2,3,2,0,0,FW,1,0,0
Ciaran Clark,Newcastle Utd,27,20,2,1,0,0,3,0,0.1,0.05,0.1,2.1,2.1,0.4,0.11,0.02,0.11,69.8,11146,4376,30,82.4,56.8,3,42.9,23,7,25,20,120,2,DF,11,4,0.21
Tom Cleverley,Watford,27,23,1,2,0,1,2,2,0.05,0.09,0.05,1.8,1,1.3,0.08,0.06,0.05,78.5,17136,5097,42.5,87.6,60.1,27,40,42,28,25,28,20,0,MF,14,3,0.14
Sam Clucas,Swansea City,26,29,3,1,0,0,2,0,0.13,0.04,0.13,2,2,1.2,0.09,0.05,0.09,78.6,12407,2941,30.3,87.9,60.8,17,55.6,31,16,44,28,17,1,"MF,FW",21,7,0.31
Nathaniel Clyne,Liverpool,26,3,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0.1,0,77.8,1744,542,14.3,86.5,58.3,1,0,2,1,3,1,0,0,"DF,MF",0,0,0
Séamus Coleman,Everton,28,12,0,1,0,0,0,0,0,0.09,0,0.9,0.9,0.4,0.07,0.03,0.07,71.1,6000,2676,35.7,81.5,49.2,7,61.1,16,9,25,16,11,0,DF,5,2,0.17
James Collins,West Ham,33,13,1,0,0,0,3,0,0.09,0,0.09,0.3,0.3,0.5,0.03,0.05,0.03,72.1,6692,2814,40,84.3,58.3,2,100,15,9,22,18,97,1,DF,5,2,0.17
Lewis Cook,Bournemouth,20,29,0,2,0,0,5,0,0,0.08,0,0.5,0.5,1.5,0.02,0.06,0.02,78.4,20665,5944,36.2,83.9,72.2,29,83.3,58,38,51,38,21,1,MF,18,2,0.08
Steve Cook,Bournemouth,26,34,2,1,0,0,5,0,0.07,0.03,0.07,2.2,2.2,0.6,0.07,0.02,0.07,72.2,23031,7782,35.7,80.9,64.4,5,50,31,15,81,62,192,1,DF,26,6,0.2
Francis Coquelin,Arsenal,26,7,0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,0.13,0.03,84.9,1374,402,50,91.4,68.4,1,,4,3,1,4,2,0,"MF,DF",1,0,0
Jack Cork,Burnley,28,38,2,1,0,0,7,0,0.05,0.03,0.05,2,2,0.9,0.05,0.02,0.05,78.5,23897,5540,40,84.2,69.1,19,70.3,49,39,54,38,55,0,MF,16,5,0.13
Thibaut Courtois,Chelsea,25,35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,73.5,22084,12901,55.6,99.4,59.6,0,,0,0,0,0,3,0,GK,0,0,0
Philippe Coutinho,Liverpool,25,14,7,6,0,0,0,0,0.57,0.49,0.57,2.6,2.6,4.4,0.21,0.35,0.21,73.9,10986,3636,42.9,82.5,60.3,41,61.7,18,12,15,9,0,0,"MF,FW",53,18,1.46
Martin Cranie,Huddersfield,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.1,1554,458,0,86,69.7,0,100,2,0,4,3,9,0,"DF,MF",0,0,0
Aaron Cresswell,West Ham,27,36,1,3,0,0,7,0,0.03,0.09,0.03,0.7,0.7,2.8,0.02,0.08,0.02,69.9,23141,10252,25.4,84.7,47.4,39,37.5,36,14,50,49,78,1,DF,20,6,0.18
Peter Crouch,Stoke City,36,31,5,2,0,0,4,0,0.29,0.11,0.29,4.1,4.1,2.7,0.24,0.16,0.24,59.8,4821,1241,29.3,63.6,53.1,21,40,0,0,16,3,27,0,FW,26,9,0.52
Josh Cullen,West Ham,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,17,6,66.7,100,,0,100,0,0,1,2,0,0,"FW,MF",0,0,0
Charlie Daniels,Bournemouth,30,35,1,3,0,0,0,0,0.03,0.09,0.03,0.5,0.5,2.5,0.02,0.07,0.02,74.1,24629,10030,35.2,84.5,50,28,64,48,23,64,33,65,0,"DF,MF",21,6,0.18
Danilo ,Manchester City,25,23,3,2,0,0,2,0,0.2,0.13,0.2,0.9,0.9,0.2,0.06,0.01,0.06,88.9,19165,5103,35.7,94,74.5,4,77.8,42,23,31,20,29,0,DF,19,7,0.47
Scott Dann,Crystal Palace,30,17,1,0,0,0,4,0,0.06,0,0.06,1.9,1.9,0.2,0.12,0.01,0.12,77.5,9950,3700,55.6,86.1,68,5,100,11,4,22,24,73,0,DF,19,4,0.25
Karl Darlow,Newcastle Utd,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9,5985,4660,,97.8,41.9,0,,0,0,0,0,0,0,GK,0,0,0
Matteo Darmian,Manchester Utd,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,80.1,3312,1074,62.5,87.4,63.8,1,0,15,9,11,8,16,0,DF,2,0,0
Ben Davies,Tottenham,24,29,2,6,0,0,3,0,0.08,0.23,0.08,1.3,1.3,3.1,0.05,0.12,0.05,74.6,22697,8921,29.9,84.6,56.5,41,69.2,48,26,38,27,48,0,DF,18,6,0.23
Tom Davies,Everton,19,33,2,1,0,0,7,0,0.09,0.05,0.09,1.5,1.5,0.7,0.07,0.03,0.07,76,9029,2031,47.7,82.5,60.8,9,43.2,28,16,24,25,13,0,MF,21,3,0.14
Steven Davis,Southampton,32,23,3,0,0,0,0,0,0.18,0,0.18,0.9,0.9,1.1,0.05,0.06,0.05,81.5,16018,4179,32.6,89.3,66.9,18,64.7,32,19,27,16,18,0,MF,15,5,0.3
Craig Dawson,West Brom,27,28,2,0,0,0,6,0,0.07,0,0.07,2.1,2.1,1.3,0.08,0.05,0.08,68.1,15463,7208,29.5,77.9,56.5,14,60,41,22,51,52,116,0,DF,18,4,0.14
Kevin De Bruyne,Manchester City,26,37,8,16,0,0,2,0,0.23,0.47,0.23,5.6,5.6,12.6,0.16,0.37,0.16,78,44973,12388,32.7,84.8,67,111,64.5,50,30,45,27,11,0,MF,91,37,1.08
Troy Deeney,Watford,29,29,5,2,3,5,1,1,0.24,0.1,0.1,8,4.1,1.8,0.39,0.09,0.2,56.7,4569,1259,22.2,62.3,51.2,22,53.3,15,12,14,5,15,0,FW,37,10,0.49
Jermain Defoe,Bournemouth,34,24,4,1,0,0,1,0,0.33,0.08,0.33,5.2,5.2,1.1,0.43,0.09,0.43,71.4,1268,207,22.2,76.6,61.5,12,50,7,6,10,5,2,0,FW,28,15,1.24
Steven Defour,Burnley,29,24,1,1,0,0,6,0,0.05,0.05,0.05,0.8,0.8,1.3,0.04,0.06,0.04,81.2,16685,4896,56.7,88.5,67.4,18,78.9,31,23,52,44,19,0,MF,19,7,0.32
Damien Delaney,Crystal Palace,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,600,442,0,80.8,64.3,0,,2,1,8,3,2,0,DF,0,0,0
Fabian Delph,Manchester City,27,22,1,2,0,0,2,0,0.05,0.1,0.05,0.2,0.2,1.1,0.01,0.06,0.01,92.4,26223,6922,63.9,95,81.7,11,91.3,35,21,27,35,24,0,DF,10,3,0.16
Mousa Dembélé,Tottenham,29,28,0,0,0,0,6,0,0,0,0,0.5,0.5,0.9,0.02,0.04,0.02,92,23052,6578,51.7,93.5,90,17,88.1,37,27,21,32,15,0,MF,11,3,0.14
